Verb ID,Category,Verb,Description,Prompt ID,Duplicate,Comment,Additional information
1,Actions for Manipulation & Treatment ,Add, To introduce or apply a substance or element.,1,,,amount; time;
2,Actions for Manipulation & Treatment ,Apply, To place something onto a surface or subject.,1,,,amount; time;
3,Actions for Manipulation & Treatment ,Blend, To mix or combine different substances.,1,,,amount; time;
4,Actions for Manipulation & Treatment ,Calibrate, To adjust an instrument or system for accuracy.,1,,,equipment
5,Actions for Manipulation & Treatment ,Clean, To remove unwanted materials from a surface or sample.,1,,,process
6,Actions for Manipulation & Treatment ,Collect," To gather or assemble data, samples, or items.",1,,,amount;
7,Actions for Manipulation & Treatment ,Combine, To put two or more things together.,1,,,amount; time;
8,Actions for Manipulation & Treatment ,Control, To regulate or hold a variable constant.,1,,,process
9,Actions for Manipulation & Treatment ,Culture, To grow microorganisms or cells in a controlled environment.,1,,,amount; time;
10,Actions for Manipulation & Treatment ,Cut, To divide or separate a material with a sharp tool.,1,,,amount;
11,Actions for Manipulation & Treatment ,Dissolve, To cause a substance to become incorporated into a liquid.,1,,,amount; time;
12,Actions for Manipulation & Treatment ,Dry, To remove moisture from something.,1,,,time; 
13,Actions for Manipulation & Treatment ,Extract, To remove or take out a substance.,1,,,amount; time;
14,Actions for Manipulation & Treatment ,Filter, To pass a liquid or gas through a filter to remove impurities.,1,,,amount; time;
15,Actions for Manipulation & Treatment ,Heat, To raise the temperature of something.,1,,,amount; time;
16,Actions for Manipulation & Treatment ,Incubate, To keep something in specific conditions to promote growth or development.,1,,,amount; time;
17,Actions for Manipulation & Treatment ,Inject, To force a fluid into something.,1,,,amount;
18,Actions for Manipulation & Treatment ,Isolate, To separate a substance or group for specific study.,1,,,amount;
19,Actions for Manipulation & Treatment ,Label, To identify or mark a sample or component.,1,,,sample
20,Actions for Manipulation & Treatment ,Measure," To determine the size, amount, or degree of something.",1,,,amount; time;
21,Actions for Manipulation & Treatment ,Mix, To combine or stir different substances.,1,,,amount; time;
22,Actions for Manipulation & Treatment ,Observe, To watch or monitor something carefully.,1,,,process
23,Actions for Manipulation & Treatment ,Operate, To perform an action or process with a device or system.,1,,,process
24,Actions for Manipulation & Treatment ,Pour, To cause a liquid to flow from a container.,1,,,amount; time;
25,Actions for Manipulation & Treatment ,Press, To apply force or pressure.,1,,,amount; time;
26,Actions for Manipulation & Treatment ,Produce, To create or bring something into existence.,1,,,other
27,Actions for Manipulation & Treatment ,Record, To keep a written or electronic account of something.,1,,,other
28,Actions for Manipulation & Treatment ,Refrigerate, To cool something down to a low temperature.,1,,,amount; time;
29,Actions for Manipulation & Treatment ,Remove, To take something away from a place or position.,1,,,amount;
30,Actions for Manipulation & Treatment ,Repeat, To perform an action again.,1,,,other
31,Actions for Manipulation & Treatment ,Sample, To take a small representative part of a larger quantity.,1,,,amount;
32,Actions for Manipulation & Treatment ,Separate, To divide or move things apart.,1,,,amount;
33,Actions for Manipulation & Treatment ,Soak, To immerse something in a liquid.,1,,,amount; time;
